# ESTATE residue ledger 2026-09-15T08:58:14Z - the whole repair surface at origin/HEAD, one row per defect.
# state: PENDING -> FIXED / SKIPPED-<reason>. The campaign is done when no row reads PENDING.
# SOLE-SOUND-COPY rows are DO-NOT-TOUCH, not PENDING: a checkout from HEAD destroys the only sound copy, silently.
repo	kind	path_or_count	detail	state
hyperpolymath/gv-clade-index	UNSOUND-WORKFLOW	.github/workflows/scorecard.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/gv-clade-index	SOLE-SOUND-COPY	1	worktree is the ONLY sound copy; a checkout from HEAD destroys it silently	DO-NOT-TOUCH
hyperpolymath/hermeneia	UNSOUND-WORKFLOW	.github/workflows/container-build.yml	other	PENDING
hyperpolymath/hermeneia	UNSOUND-WORKFLOW	.github/workflows/guix-policy.yml	other	PENDING
hyperpolymath/hermeneia	UNSOUND-WORKFLOW	.github/workflows/openssf-compliance.yml	other	PENDING
hyperpolymath/hermeneia	UNSOUND-WORKFLOW	.github/workflows/runtime-policy.yml	other	PENDING
hyperpolymath/hermeneia	UNSOUND-WORKFLOW	.github/workflows/security-policy.yml	other	PENDING
hyperpolymath/hermeneia	UNSOUND-WORKFLOW	.github/workflows/wellknown-enforcement.yml	other	PENDING
hyperpolymath/i-human	SOLE-SOUND-COPY	1	worktree is the ONLY sound copy; a checkout from HEAD destroys it silently	DO-NOT-TOUCH
hyperpolymath/intsoc-transactor	UNPINNED-REUSABLE	1	reusable uses: whose @ref is not a 40-hex sha	PENDING
hyperpolymath/ipfs-overlay	SOLE-SOUND-COPY	1	worktree is the ONLY sound copy; a checkout from HEAD destroys it silently	DO-NOT-TOUCH
hyperpolymath/januskey	UNSOUND-WORKFLOW	.github/workflows/cargo-audit.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/januskey	UNSOUND-WORKFLOW	.github/workflows/e2e.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/januskey	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/kitchenspeak	UNSOUND-WORKFLOW	.github/workflows/e2e.yml	NOJOBS (parses, no jobs map)	PENDING
hyperpolymath/laniakea	UNPINNED-REUSABLE	1	reusable uses: whose @ref is not a 40-hex sha	PENDING
hyperpolymath/llm-grace	UNSOUND-WORKFLOW	.github/workflows/e2e.yml	NOJOBS (parses, no jobs map)	PENDING
hyperpolymath/llm-grace	UNPINNED-REUSABLE	1	reusable uses: whose @ref is not a 40-hex sha	PENDING
hyperpolymath/misinformation-defence-platform	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/natsci-studio	UNSOUND-WORKFLOW	.github/workflows/e2e.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/nesy-solver	UNSOUND-WORKFLOW	.github/workflows/e2e.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/nesy-solver	UNSOUND-WORKFLOW	.github/workflows/scorecard.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/nesy-solver	SOLE-SOUND-COPY	1	worktree is the ONLY sound copy; a checkout from HEAD destroys it silently	DO-NOT-TOUCH
hyperpolymath/network-dashboard	UNSOUND-WORKFLOW	.github/workflows/codeql.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/neural-foundations	UNSOUND-WORKFLOW	.github/workflows/e2e.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/neural-foundations	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/palimpsest-license	UNSOUND-WORKFLOW	.github/workflows/scorecard.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/panll	UNSOUND-WORKFLOW	.github/workflows/e2e.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/panll	UNSOUND-WORKFLOW	.github/workflows/scorecard.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/panll	SOLE-SOUND-COPY	1	worktree is the ONLY sound copy; a checkout from HEAD destroys it silently	DO-NOT-TOUCH
hyperpolymath/panoply	UNSOUND-WORKFLOW	.github/workflows/e2e.yml	NOJOBS (parses, no jobs map)	PENDING
hyperpolymath/polystack	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	other	PENDING
hyperpolymath/polystack	SOLE-SOUND-COPY	1	worktree is the ONLY sound copy; a checkout from HEAD destroys it silently	DO-NOT-TOUCH
hyperpolymath/project-wharf	UNSOUND-WORKFLOW	.github/workflows/cargo-audit.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/project-wharf	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/proven	UNSOUND-WORKFLOW	.github/workflows/clusterfuzzlite.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/proven	UNSOUND-WORKFLOW	.github/workflows/e2e.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/qubes-sdp	UNPINNED-REUSABLE	1	reusable uses: whose @ref is not a 40-hex sha	PENDING
hyperpolymath/qubes-sdp	SOLE-SOUND-COPY	1	worktree is the ONLY sound copy; a checkout from HEAD destroys it silently	DO-NOT-TOUCH
hyperpolymath/reasonably-good-token-vault	SOLE-SOUND-COPY	1	worktree is the ONLY sound copy; a checkout from HEAD destroys it silently	DO-NOT-TOUCH
hyperpolymath/road-skate	UNSOUND-WORKFLOW	.github/workflows/e2e.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/road-skate	UNSOUND-WORKFLOW	.github/workflows/scorecard.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/road-skate	SOLE-SOUND-COPY	1	worktree is the ONLY sound copy; a checkout from HEAD destroys it silently	DO-NOT-TOUCH
hyperpolymath/rrecord-verity	UNSOUND-WORKFLOW	.github/workflows/test-results.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/rrecord-verity	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/rsr-template-repo	UNPINNED-REUSABLE	1	reusable uses: whose @ref is not a 40-hex sha	PENDING
hyperpolymath/rsr-template-repo	SOLE-SOUND-COPY	1	worktree is the ONLY sound copy; a checkout from HEAD destroys it silently	DO-NOT-TOUCH
hyperpolymath/sanctify-php	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/snifs	UNSOUND-WORKFLOW	.github/workflows/e2e.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/snifs	UNSOUND-WORKFLOW	.github/workflows/proofs.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/snifs	UNSOUND-WORKFLOW	.github/workflows/release.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/snifs	UNSOUND-WORKFLOW	.github/workflows/scorecard.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/snifs	SOLE-SOUND-COPY	1	worktree is the ONLY sound copy; a checkout from HEAD destroys it silently	DO-NOT-TOUCH
hyperpolymath/somethings-fishy	UNSOUND-WORKFLOW	.github/workflows/e2e.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/standards	UNPINNED-REUSABLE	7	reusable uses: whose @ref is not a 40-hex sha	PENDING
hyperpolymath/the-nash-equilibrium	UNSOUND-WORKFLOW	.github/workflows/e2e.yml	NOJOBS (parses, no jobs map)	PENDING
hyperpolymath/typefix-zero	UNSOUND-WORKFLOW	.github/workflows/e2e.yml	NOJOBS (parses, no jobs map)	PENDING
hyperpolymath/universal-language-server-plugin	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/universal-project-manager	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/valence-shell	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/voyage-enterprise-decision-system	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/zerostep	UNSOUND-WORKFLOW	.github/workflows/cargo-audit.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/zerostep	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	permissions-scalar-with-orphaned-mapping	PENDING
